Negative sentiment,Positive sentiment
Liu et al. (2005),Liu et al. (2005)
abnormal,a+
abolish,abound
abominable,abounds
abominably,abundance
abominate,abundant
abomination,accessable
abort,accessible
aborted,acclaim
aborts,acclaimed
abrade,acclamation
abrasive,accolade
abrupt,accolades
abruptly,accommodative
abscond,accomodative
absence,accomplish
absent-minded,accomplished
absentee,accomplishment
absurd,accomplishments
absurdity,accurate
absurdly,accurately
absurdness,achievable
abuse,achievement
abused,achievements
abuses,achievible
abusive,acumen
abysmal,adaptable
abysmally,adaptive
abyss,adequate
accidental,adjustable
accost,admirable
accursed,admirably
accusation,admiration
accusations,admire
accuse,admirer
accuses,admiring
accusing,admiringly
accusingly,adorable
acerbate,adore
acerbic,adored
acerbically,adorer
ache,adoring
ached,adoringly
aches,adroit
achey,adroitly
aching,adulate
acrid,adulation
acridly,adulatory
acridness,advanced
acrimonious,advantage
acrimoniously,advantageous
acrimony,advantageously
adamant,advantages
adamantly,adventuresome
addict,adventurous
addicted,advocate
addicting,advocated
addicts,advocates
admonish,affability
admonisher,affable
admonishingly,affably
admonishment,affectation
admonition,affection
adulterate,affectionate
adulterated,affinity
adulteration,affirm
adulterier,affirmation
adversarial,affirmative
adversary,affluence
adverse,affluent
adversity,afford
afflict,affordable
affliction,affordably
afflictive,afordable
affront,agile
afraid,agilely
aggravate,agility
aggravating,agreeable
aggravation,agreeableness
aggression,agreeably
aggressive,all-around
aggressiveness,alluring
aggressor,alluringly
aggrieve,altruistic
aggrieved,altruistically
aggrivation,amaze
aghast,amazed
agonies,amazement
agonize,amazes
agonizing,amazing
agonizingly,amazingly
agony,ambitious
aground,ambitiously
ail,ameliorate
ailing,amenable
ailment,amenity
aimless,amiability
alarm,amiabily
alarmed,amiable
alarming,amicability
alarmingly,amicable
alienate,amicably
alienated,amity
alienation,ample
allegation,amply
allegations,amuse
allege,amusing
allergic,amusingly
allergies,angel
allergy,angelic
aloof,apotheosis
altercation,appeal
ambiguity,appealing
ambiguous,applaud
ambivalence,appreciable
ambivalent,appreciate
ambush,appreciated
amiss,appreciates
amputate,appreciative
anarchism,appreciatively
anarchist,appropriate
anarchistic,approval
anarchy,approve
anemic,ardent
anger,ardently
angrily,ardor
angriness,articulate
angry,aspiration
anguish,aspirations
animosity,aspire
annihilate,assurance
annihilation,assurances
annoy,assure
annoyance,assuredly
annoyances,assuring
annoyed,astonish
annoying,astonished
annoyingly,astonishing
annoys,astonishingly
anomalous,astonishment
anomaly,astound
antagonism,astounded
antagonist,astounding
antagonistic,astoundingly
antagonize,astutely
anti-,attentive
anti-american,attraction
anti-israeli,attractive
anti-occupation,attractively
anti-proliferation,attune
anti-semites,audible
anti-social,audibly
anti-us,auspicious
anti-white,authentic
antipathy,authoritative
antiquated,autonomous
antithetical,available
anxieties,aver
anxiety,avid
anxious,avidly
anxiously,award
anxiousness,awarded
apathetic,awards
apathetically,awe
apathy,awed
apocalypse,awesome
apocalyptic,awesomely
apologist,awesomeness
apologists,awestruck
appal,awsome
appall,backbone
appalled,balanced
appalling,bargain
appallingly,beauteous
apprehension,beautiful
apprehensions,beautifullly
apprehensive,beautifully
apprehensively,beautify
arbitrary,beauty
arcane,beckon
archaic,beckoned
arduous,beckoning
arduously,beckons
argumentative,believable
arrogance,believeable
